NODE,SWIP,PORT,TOKYTHUAT,TRAM,MACSHT
UL_DHO093M_LAN,10.81.4.65,16,Đức Hòa,Ấp 1B Hựu Thạnh-DHO093M,CSHT_LAN_00616
3G_DHU700B_LAN,10.81.5.98,9,Đức Huệ,Ấp 3 Bình Hòa Nam-DHU024M,CSHT_LAN_00629
4G-DHU700B-LAN,10.81.5.98,15,Đức Huệ,Ấp 3 Bình Hòa Nam-DHU024M,CSHT_LAN_00629
UL_DHU024M_LAN,10.81.5.98,4,Đức Huệ,Ấp 3 Bình Hòa Nam-DHU024M,CSHT_LAN_00670
3G_TAN003M_LAN,10.81.5.10,6,Tân An 1,Ấp 3 Bình Tâm,CSHT_LAN_00008
GL_TAN003M_LAN,10.81.5.10,16,Tân An 1,Ấp 3 Bình Tâm,CSHT_LAN_00008
UL_DHO040M_LAN,10.81.4.64,6,Đức Hòa,Ấp 4 ĐHĐ (DHO040E),CSHT_LAN_00307
UL_DHO044M_LAN,10.81.4.253,2,Đức Huệ,Ấp An Thuận ANĐ (DHO044M),CSHT_LAN_00332
UL_DHO047M_LAN,10.81.5.141,23,Hậu Nghĩa,Ấp Bình Thủy (DHO047M),CSHT_LAN_00318
UL_DHU020M_LAN,10.81.5.131,9,Đức Huệ,Ấp Chánh BHB (DHU020M),CSHT_LAN_00308
2G_DHU020M_LAN,E1,E1,Đức Huệ,Ấp Chánh BHB (DHU020M),CSHT_LAN_00308
UL_DHO045M_LAN,10.81.5.153,4,Đức Huệ,Ấp Sơn Lợi ANT (DHO045M),CSHT_LAN_00317
3G_MHO020M_LAN,10.81.5.220,2,Mộc Hóa,Bình Hòa Trung (MHO020E),CSHT_LAN_00312
4G-MHO020M-LAN,10.81.5.220,3,Mộc Hóa,Bình Hòa Trung (MHO020E),CSHT_LAN_00312
UL_BLU703B_LAN,10.81.4.67,6,Bến Lức,BLU034E (KDC Thanh Yến),CSHT_LAN_00654
UL_BLU034M_LAN,10.81.4.67,5,Bến Lức,BLU034E (KDC Thanh Yến),CSHT_LAN_00304
UL_BLU035M_LAN,10.81.4.91,17,Gò Đen,BLU035E (Ấp Phước Tình),CSHT_LAN_00310
2G_BLU035M_LAN,10.81.4.90,1,Gò Đen,BLU035E (Ấp Phước Tình),CSHT_LAN_00310
UL_BLU038M_LAN,10.81.4.86,3,Bến Lức,BLU038M (Ấp 4 Thanh Phú),CSHT_LAN_00322
2G_BLU038M_LAN,10.81.4.87,6,Bến Lức,BLU038M (Ấp 4 Thanh Phú),CSHT_LAN_00322
3G_BLU041M_LAN,10.81.4.26,21,Bến Lức,BLU041M (Ấp 2 Thạnh Hòa),CSHT_LAN_00321
4G-BLU041M-LAN,10.81.4.26,7,Bến Lức,BLU041M (Ấp 2 Thạnh Hòa),CSHT_LAN_00321
2G_BLU041M_LAN,10.81.4.26,3,Bến Lức,BLU041M (Ấp 2 Thạnh Hòa),CSHT_LAN_00321
3G_BLU043M_LAN,10.81.4.90,7,Gò Đen,BLU043M (Ấp Chánh Long Hiệp),CSHT_LAN_00385
4G-BLU043M-LAN,10.81.4.90,6,Gò Đen,BLU043M (Ấp Chánh Long Hiệp),CSHT_LAN_00385
UL_BLU044W_LAN,10.81.5.61,5,Bến Lức,BLU044M (Khu CN Thuận Đạo),CSHT_LAN_00401
UL_BLU047M_LAN,10.81.5.95,4,Bến Lức,"BLU047M (Ấp Lò Gạch, Long Hiệp)",CSHT_LAN_00415
UL_BLU048M_LAN,10.81.4.94,2,Bến Lức,BLU048M (Ấp 6 Thạnh Đức),CSHT_LAN_00416
